date,open,close,,buy_mo,price_change_mo,percent_change_mo,overall_ret_buy_mo,buy_mc,price_change_mc,percent_change_mc,overall_ret_buy_mc,buy_monthly,,buy_quarterly,buy_and_hold,,,buy_and_hold,,Invesment Amount,# of Shares
2014-09-03,201.38,200.5,,"$10,980.41",-$0.88,-0.4370%,,"$11,760.03",$0.77,0.3838%,,,,,"$12,969.67",,,,,,
2014-09-04,200.84,200.2101,,"$10,945.97",-$0.63,-0.3136%,,"$11,779.97",$0.34,0.1696%,,,,,"$12,934.89",,,,,,
2014-09-05,200.17,201.11,,"$10,997.37",$0.94,0.4696%,,"$11,777.61",-$0.04,-0.0200%,,,,,"$12,891.74",,,,,,
2014-09-08,200.92,200.59,,"$10,979.31",-$0.33,-0.1642%,,"$11,766.49",-$0.19,-0.0945%,,,,,"$12,940.04",,,,,,
2014-09-09,200.41,199.32,,"$10,919.59",-$1.09,-0.5439%,,"$11,755.93",-$0.18,-0.0897%,,,,,"$12,907.19",,,,,,
2014-09-10,199.43,200.07,,"$10,954.64",$0.64,0.3209%,,"$11,762.41",$0.11,0.0552%,,,,,"$12,844.08",,,,,,
2014-09-11,199.27,200.3,,"$11,011.26",$1.03,0.5169%,,"$11,715.38",-$0.80,-0.3999%,,,,,"$12,833.77",,,,,,
2014-09-12,200.1,199.13,,"$10,957.88",-$0.97,-0.4848%,,"$11,703.68",-$0.20,-0.0999%,,,,,"$12,887.23",,,,,,
2014-09-15,199.16,198.981,,"$10,948.03",-$0.18,-0.0899%,,"$11,705.45",$0.03,0.0151%,,,,,"$12,826.69",,,,,,
2014-09-16,198.61,200.48,,"$11,051.11",$1.87,0.9415%,,"$11,683.62",-$0.37,-0.1864%,,,,,"$12,791.27",,,,,,
2014-09-17,200.77,200.75,,"$11,050.01",-$0.02,-0.0100%,,"$11,700.52",$0.29,0.1447%,,,,,"$12,930.38",,,,,,
2014-09-18,201.36,201.82,,"$11,075.25",$0.46,0.2284%,,"$11,736.08",$0.61,0.3039%,,,,,"$12,968.38",,,,,,
2014-09-19,201.52,200.7,,"$11,030.19",-$0.82,-0.4069%,,"$11,718.63",-$0.30,-0.1486%,,,,,"$12,978.68",,,,,,
2014-09-22,200.35,199.15,,"$10,964.12",-$1.20,-0.5990%,,"$11,698.19",-$0.35,-0.1744%,,,,,"$12,903.33",,,,,,
2014-09-23,198.43,198.01,,"$10,940.92",-$0.42,-0.2117%,,"$11,655.90",-$0.72,-0.3615%,,,,,"$12,779.67",,,,,,
2014-09-24,198.04,199.56,,"$11,024.89",$1.52,0.7675%,,"$11,657.67",$0.03,0.0152%,,,,,"$12,754.56",,,,,,
2014-09-25,199.04,196.34,,"$10,875.34",-$2.70,-1.3565%,,"$11,627.29",-$0.52,-0.2606%,,,,,"$12,818.96",,,,,,
2014-09-26,196.7,197.9,,"$10,941.68",$1.20,0.6101%,,"$11,648.61",$0.36,0.1834%,,,,,"$12,668.26",,,,,,
2014-09-29,196.2,197.54,,"$11,016.41",$1.34,0.6830%,,"$11,548.55",-$1.70,-0.8590%,,,,,"$12,636.05",,,,,,
2014-09-30,197.69,197.02,,"$10,979.08",-$0.67,-0.3389%,,"$11,557.32",$0.15,0.0759%,,,,,"$12,732.02",,,,,,
